timestamp_ns,cpu_usage_usec,memory_current_bytes,memory_peak_bytes,pids_current,load1,load5,load15,disk_avail_bytes
1786809365365617635,50528803693,38628990976,44949463040,470,15.45,9.67,4.12,181692239872
1786809367423515859,50549853997,38628679680,44949463040,470,15.65,9.81,4.20,181688967168
1786809369490672071,50572289068,38621339648,44949463040,470,15.65,9.81,4.20,181688156160
1786809371592457461,50595241997,38685089792,44949463040,470,15.52,9.88,4.25,181685694464
1786809373659445357,50617356742,38686433280,44949463040,470,15.52,9.88,4.25,181684785152
1786809375755808480,50639388378,38668660736,44949463040,470,15.08,9.88,4.28,181682069504
1786809377806671832,50661787155,38666240000,44949463040,470,15.08,9.88,4.28,181680443392
1786809379850866169,50684324519,38750470144,44949463040,470,15.08,9.88,4.28,181679869952
1786809381899662359,50705781124,38756114432,44949463040,470,14.83,9.91,4.32,181678063616
1786809383951358488,50728574418,38786887680,44949463040,470,14.83,9.91,4.32,181676486656
1786809386003638406,50750405709,38724227072,44949463040,470,14.36,9.90,4.35,181674807296
1786809388052479860,50773472017,38758559744,44949463040,470,14.36,9.90,4.35,181672906752
1786809390098815066,50794633342,38718910464,44949463040,470,14.36,9.90,4.35,181671817216
1786809392139373828,50817128301,38807482368,44949463040,470,13.93,9.88,4.37,181669216256
1786809394189130303,50839236291,38756528128,44949463040,470,13.93,9.88,4.37,181667454976
1786809396235344009,50860979018,38814187520,44949463040,470,13.70,9.90,4.41,181665865728
1786809398283244720,50882424525,38775742464,44949463040,470,13.70,9.90,4.41,181663346688
1786809400335556605,50905571688,38841573376,44949463040,470,13.70,9.90,4.41,181662494720
1786809402391594433,50927705847,38868250624,44949463040,470,13.40,9.90,4.44,181660618752
1786809404446796026,50949570509,38865448960,44949463040,470,13.40,9.90,4.44,181658832896
1786809406564594700,50972857553,38933200896,44949463040,470,14.01,10.09,4.53,181656383488
1786809408614166354,50994294188,38885879808,44949463040,470,14.01,10.09,4.53,181655330816
1786809410666973829,51017697436,38924890112,44949463040,470,13.61,10.07,4.55,181653540864
1786809412713041705,51039819309,38853799936,44949463040,470,13.61,10.07,4.55,181651562496
1786809414758395105,51063040278,38887211008,44949463040,470,13.61,10.07,4.55,181650038784
1786809416812821204,51086444587,38907580416,44949463040,470,14.60,10.33,4.67,181649186816
1786809418873777436,51108826089,38923444224,44949463040,470,14.60,10.33,4.67,181647208448
1786809420942139128,51131252500,38898368512,44949463040,470,16.56,10.81,4.85,181646249984
1786809423010617269,51154864357,38933651456,44949463040,470,16.56,10.81,4.85,181645094912
1786809425060790899,51176134528,38952378368,44949463040,470,16.56,10.81,4.85,181643550720
1786809427122772297,51199824289,39019352064,44949463040,470,17.07,11.01,4.95,181643042816
1786809429210388494,51222752844,38936850432,44949463040,470,17.07,11.01,4.95,181642186752
1786809431260281923,51246038645,38946557952,44949463040,470,17.47,11.20,5.04,181640613888
1786809433310897581,51269318171,38972878848,44949463040,470,17.47,11.20,5.04,181638959104
1786809435354939232,51289328260,38957699072,44949463040,470,17.47,11.20,5.04,181638225920
1786809437401292814,51313998532,39039811584,44949463040,470,18.87,11.59,5.20,181637050368
1786809439460516343,51335126378,39044513792,44949463040,470,18.87,11.59,5.20,181635538944
1786809441547526573,51359353109,39003095040,44949463040,470,18.08,11.55,5.22,181634822144
1786809443597832823,51380656301,39040626688,44949463040,470,18.08,11.55,5.22,181632692224
1786809445651758385,51404243730,39043584000,44949463040,470,18.80,11.80,5.34,181632937984
1786809447723210130,51426034454,38990422016,44949463040,470,18.80,11.80,5.34,181630275584
1786809449776319042,51449638583,39026405376,44949463040,470,18.80,11.80,5.34,181629632512
1786809451827961832,51471784917,38999990272,44949463040,470,19.21,12.01,5.44,181629124608
1786809453882880127,51494015752,39013724160,44949463040,470,19.21,12.01,5.44,181626847232
1786809455928314255,51518015450,39057489920,44949463040,470,19.68,12.22,5.55,181626421248
1786809457981716313,51540548108,39064301568,44949463040,470,19.68,12.22,5.55,181624352768
1786809460036932354,51562584205,39096729600,44949463040,470,19.68,12.22,5.55,181623390208
1786809462086512092,51586239322,39055818752,44949463040,470,19.70,12.35,5.63,181622165504
1786809464132345456,51606656270,38997225472,44949463040,470,19.70,12.35,5.63,181620252672
1786809466208834782,51630806577,39043170304,44949463040,470,19.89,12.51,5.71,181619351552
1786809468253516664,51653663404,39097925632,44949463040,470,19.89,12.51,5.71,181619286016
1786809470295887244,51673636025,39036227584,44949463040,470,19.89,12.51,5.71,181616996352
1786809472381430981,51698355984,39079198720,44949463040,470,19.09,12.47,5.74,181615276032
